"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID"
"1",1,"MATH070","B124","W",NA,"B124","5/23/2012",0,5,0,92,45,"16",NA,"",NA,3607
"2",2,"MATH147","B121","3.5",3.5,"B121","",3.43,15,15,94,NA,"88",27,"",NA,2131
"3",3,"MATH&107","B014","2.3",2.3,"B343","",2.3,5,5,NA,NA,"",NA,"",NA,7896
"4",4,"MATH072","B012","W",NA,"B012","10/5/2010",0,10,0,99,NA,"",NA,"",NA,3907
"5",5,"MATH097","B012","W",NA,"B012","10/4/2010",0,10,0,99,NA,"",NA,"",NA,3907
"6",6,"MATH062","B233","3.8",3.8,"B344","",3.75,10,10,87,66,"15",NA,"",NA,6936
"7",7,"MATH070","B341","3.4",3.4,"B344","",3.5,10,10,87,66,"15",NA,"",NA,6936
"8",8,"MATH072","B342","1.4",1.4,"B344","",0.7,10,5,87,66,"15",NA,"",NA,6936
"9",9,"MATH&141","B232","4",4,"B344","",4,12,12,99,66,"46",NA,"",NA,1070
"10",10,"MATH&142","B233","3.5",3.5,"B344","",3.55,10,10,99,66,"46",NA,"",NA,1070
"11",11,"MATH&151","B342","3.4",3.4,"B344","",3.63,13,13,99,66,"46",NA,"",NA,1070
"12",12,"MATH072","B124","4",4,"B344","",4,10,10,99,66,"46",NA,"",NA,1070
"13",13,"MATH097","B231","4",4,"B344","",3.87,15,15,99,66,"46",NA,"",NA,1070
"14",14,"MATH&142","B121","W",NA,"B231","7/21/2011",0,5,0,93,NA,"46",NA,"",NA,11502
"15",15,"MATH070","B234","4",4,"B344","",4,10,10,99,67,"23",NA,"",NA,7580
"16",16,"MATH072","B342","3.1",3.1,"B344","",3.65,13,13,99,67,"23",NA,"",NA,7580
"17",17,"MATH&107","B014","2.6",2.6,"B014","",2.6,5,5,76,54,"",NA,"",NA,1248
"18",18,"MATH&141","B234","2.4",2.4,"B344","",3.2,10,10,94,43,"15",NA,"",NA,1966
"19",19,"MATH062","B122","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966
"20",20,"MATH070","B123","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966
"21",21,"MATH072","B124","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966
"22",22,"MATH097","B231","4",4,"B344","",3.85,10,10,94,43,"15",NA,"",NA,1966
"23",23,"MATH070","B012","3",3,"B233","",3,15,10,96,31,"23",NA,"",NA,7899
"24",24,"MATH072","B013","0",0,"B233","1/3/2011",2,15,10,96,31,"23",NA,"",NA,7899
