"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID","success1.0","success2.0","success2.5","forcednumericalgrade"
"1",1,"MATH070","B124","W",NA,"B124","5/23/2012",0,5,0,92,45,"16",NA,"",NA,3607,FALSE,FALSE,FALSE,-0.1
"2",2,"MATH147","B121","3.5",3.5,"B121","",3.43,15,15,94,NA,"88",27,"",NA,2131,TRUE,TRUE,TRUE,3.5
"3",3,"MATH&107","B014","2.3",2.3,"B343","",2.3,5,5,NA,NA,"",NA,"",NA,7896,TRUE,TRUE,FALSE,2.3
"4",4,"MATH072","B012","W",NA,"B012","10/5/2010",0,10,0,99,NA,"",NA,"",NA,3907,FALSE,FALSE,FALSE,-0.1
"5",5,"MATH097","B012","W",NA,"B012","10/4/2010",0,10,0,99,NA,"",NA,"",NA,3907,FALSE,FALSE,FALSE,-0.1
"6",6,"MATH062","B233","3.8",3.8,"B344","",3.75,10,10,87,66,"15",NA,"",NA,6936,TRUE,TRUE,TRUE,3.8
"7",7,"MATH070","B341","3.4",3.4,"B344","",3.5,10,10,87,66,"15",NA,"",NA,6936,TRUE,TRUE,TRUE,3.4
"8",8,"MATH072","B342","1.4",1.4,"B344","",0.7,10,5,87,66,"15",NA,"",NA,6936,TRUE,FALSE,FALSE,1.4
"9",9,"MATH&141","B232","4",4,"B344","",4,12,12,99,66,"46",NA,"",NA,1070,TRUE,TRUE,TRUE,4
"10",10,"MATH&142","B233","3.5",3.5,"B344","",3.55,10,10,99,66,"46",NA,"",NA,1070,TRUE,TRUE,TRUE,3.5
"11",11,"MATH&151","B342","3.4",3.4,"B344","",3.63,13,13,99,66,"46",NA,"",NA,1070,TRUE,TRUE,TRUE,3.4
"12",12,"MATH072","B124","4",4,"B344","",4,10,10,99,66,"46",NA,"",NA,1070,TRUE,TRUE,TRUE,4
"13",13,"MATH097","B231","4",4,"B344","",3.87,15,15,99,66,"46",NA,"",NA,1070,TRUE,TRUE,TRUE,4
"14",14,"MATH&142","B121","W",NA,"B231","7/21/2011",0,5,0,93,NA,"46",NA,"",NA,11502,FALSE,FALSE,FALSE,-0.1
"15",15,"MATH070","B234","4",4,"B344","",4,10,10,99,67,"23",NA,"",NA,7580,TRUE,TRUE,TRUE,4
"16",16,"MATH072","B342","3.1",3.1,"B344","",3.65,13,13,99,67,"23",NA,"",NA,7580,TRUE,TRUE,TRUE,3.1
"17",17,"MATH&107","B014","2.6",2.6,"B014","",2.6,5,5,76,54,"",NA,"",NA,1248,TRUE,TRUE,TRUE,2.6
"18",18,"MATH&141","B234","2.4",2.4,"B344","",3.2,10,10,94,43,"15",NA,"",NA,1966,TRUE,TRUE,FALSE,2.4
"19",19,"MATH062","B122","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966,TRUE,TRUE,TRUE,4
"20",20,"MATH070","B123","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966,TRUE,TRUE,TRUE,4
"21",21,"MATH072","B124","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966,TRUE,TRUE,TRUE,4
"22",22,"MATH097","B231","4",4,"B344","",3.85,10,10,94,43,"15",NA,"",NA,1966,TRUE,TRUE,TRUE,4
"23",23,"MATH070","B012","3",3,"B233","",3,15,10,96,31,"23",NA,"",NA,7899,TRUE,TRUE,TRUE,3
"24",24,"MATH072","B013","0",0,"B233","1/3/2011",2,15,10,96,31,"23",NA,"",NA,7899,FALSE,FALSE,FALSE,0
"25",25,"MATH072","B121","0",0,"B233","8/2/2011",0.33,15,5,96,31,"23",NA,"",NA,7899,FALSE,FALSE,FALSE,0
"26",26,"MATH147","B012","4",4,"B014","",3.4,10,10,85,NA,"",23,"",NA,664,TRUE,TRUE,TRUE,4
"27",27,"MATH&107","B122","2",2,"B233","",2.13,15,15,86,NA,"",NA,"",NA,7630,TRUE,TRUE,FALSE,2
"28",28,"MATH097","B012","2",2,"B233","",2.5,15,15,86,NA,"",NA,"",NA,7630,TRUE,TRUE,FALSE,2
"29",29,"MATH147","B013","0",0,"B233","3/4/2011",2.47,15,10,86,NA,"",NA,"",NA,7630,FALSE,FALSE,FALSE,0
"30",30,"MATH147","B014","W",NA,"B233","5/5/2011",3.15,18,13,86,NA,"",NA,"",NA,7630,FALSE,FALSE,FALSE,-0.1
"31",31,"MATH147","B121","NC",NA,"B233","",3.05,16,11,86,NA,"",NA,"",NA,7630,FALSE,FALSE,FALSE,-0.1
"32",32,"MATH&107","B011","3.1",3.1,"B121","",3.03,16,16,89,27,"",NA,"",NA,7409,TRUE,TRUE,TRUE,3.1
"33",33,"MATH097","B342","1",1,"B343","",2.82,17,17,99,NA,"",NA,"",NA,8259,TRUE,FALSE,FALSE,1
"34",34,"MATH072","B012","2.1",2.1,"B122","",2.79,17,12,88,40,"",NA,"",NA,5103,TRUE,TRUE,FALSE,2.1
"35",35,"MATH062","B123","3.5",3.5,"B344","",3.5,5,5,71,43,"21",NA,"",NA,8529,TRUE,TRUE,TRUE,3.5
"36",36,"MATH070","B124","3.6",3.6,"B344","",3.8,10,10,71,43,"21",NA,"",NA,8529,TRUE,TRUE,TRUE,3.6
"37",37,"MATH072","B231","1.8",1.8,"B344","",1.8,5,5,71,43,"21",NA,"",NA,8529,TRUE,FALSE,FALSE,1.8
"38",38,"MATH072","B232","3.1",3.1,"B344","",3.45,10,10,71,43,"21",NA,"",NA,8529,TRUE,TRUE,TRUE,3.1
"39",39,"MATH097","B233","0",0,"B344","3/21/2013",0,5,0,71,43,"21",NA,"",NA,8529,FALSE,FALSE,FALSE,0
"40",40,"MATH097","B234","2.8",2.8,"B344","",2.95,10,10,71,43,"21",NA,"",NA,8529,TRUE,TRUE,TRUE,2.8
"41",41,"MATH062","B013","3.6",3.6,"B014","",2.47,15,15,83,24,"16",NA,"",NA,750,TRUE,TRUE,TRUE,3.6
"42",42,"MATH070","B014","0",0,"B014","",0,16,0,83,24,"16",NA,"",NA,750,FALSE,FALSE,FALSE,0
"43",43,"MATH062","B231","2",2,"B344","",2.47,15,15,75,32,"17",NA,"",180,12401,TRUE,TRUE,FALSE,2
"44",44,"MATH070","B232","0",0,"B344","12/12/2012",1.4,15,5,75,32,"17",NA,"",180,12401,FALSE,FALSE,FALSE,0
"45",45,"MATH&141","B124","1.5",1.5,"B233","",1.5,5,5,95,49,"36",NA,"",NA,2615,TRUE,FALSE,FALSE,1.5
"46",46,"MATH&141","B233","0",0,"B233","3/11/2013",0,5,0,95,49,"36",NA,"",NA,2615,FALSE,FALSE,FALSE,0
"47",47,"MATH072","B013","0",0,"B233","1/7/2011",0,10,0,95,49,"36",NA,"",NA,2615,FALSE,FALSE,FALSE,0
"48",48,"MATH072","B121","2.6",2.6,"B233","",2.6,5,5,95,49,"36",NA,"",NA,2615,TRUE,TRUE,TRUE,2.6
"49",49,"MATH097","B123","2.5",2.5,"B233","",3,10,10,95,49,"36",NA,"",NA,2615,TRUE,TRUE,TRUE,2.5
"50",50,"MATH072","B233","3.3",3.3,"B342","",3.2,15,15,99,87,"22",NA,"",NA,10850,TRUE,TRUE,TRUE,3.3
"51",51,"MATH097","B234","2.5",2.5,"B342","",3,15,15,99,87,"22",NA,"",NA,10850,TRUE,TRUE,TRUE,2.5
"52",52,"MATH&142","B014","1",1,"B342","",1,5,5,64,27,"",38,"",NA,8509,TRUE,FALSE,FALSE,1
"53",53,"MATH147","B012","3",3,"B013","",3,5,5,97,64,"19",NA,"",NA,6483,TRUE,TRUE,TRUE,3
"54",54,"MATH&107","B233","3.9",3.9,"B344","",3.6,15,15,99,91,"30",NA,"",NA,10359,TRUE,TRUE,TRUE,3.9
"55",55,"MATH062","B014","4",4,"B231","",3.67,15,15,87,33,"21",NA,"",NA,8198,TRUE,TRUE,TRUE,4
"56",56,"MATH070","B121","4",4,"B231","",3.71,12,7,87,33,"21",NA,"",NA,8198,TRUE,TRUE,TRUE,4
"57",57,"MATH072","B122","3.8",3.8,"B231","",3.93,15,15,87,33,"21",NA,"",NA,8198,TRUE,TRUE,TRUE,3.8
"58",58,"MATH097","B123","3.1",3.1,"B231","",3.39,18,18,87,33,"21",NA,"",NA,8198,TRUE,TRUE,TRUE,3.1
"59",59,"MATH062","B014","2.5",2.5,"B343","",2.5,5,5,76,35,"18",NA,"",NA,12274,TRUE,TRUE,TRUE,2.5
"60",60,"MATH070","B122","W",NA,"B343","11/3/2011",1.6,10,5,76,35,"18",NA,"",NA,12274,FALSE,FALSE,FALSE,-0.1
"61",61,"MATH072","B233","3.7",3.7,"B344","",3.5,15,15,97,39,"26",NA,"",NA,5573,TRUE,TRUE,TRUE,3.7
"62",62,"MATH097","B341","3",3,"B344","",3,10,10,97,39,"26",NA,"",NA,5573,TRUE,TRUE,TRUE,3
"63",63,"MATH147","B342","3.9",3.9,"B344","",3.5,10,10,97,39,"26",NA,"",NA,5573,TRUE,TRUE,TRUE,3.9
"64",64,"MATH072","B013","W",NA,"B341","1/19/2011",3.1,15,10,41,20,"",NA,"",290,6235,FALSE,FALSE,FALSE,-0.1
"65",65,"MATH072","B232","3.6",3.6,"B341","",3.17,15,15,41,20,"",NA,"",290,6235,TRUE,TRUE,TRUE,3.6
"66",66,"MATH097","B234","3.2",3.2,"B341","",3.2,10,5,41,20,"",NA,"",290,6235,TRUE,TRUE,TRUE,3.2
"67",67,"MATH062","B232","3.7",3.7,"B344","",3.73,15,15,69,35,"21",NA,"",NA,2965,TRUE,TRUE,TRUE,3.7
"68",68,"MATH070","B233","3.6",3.6,"B344","",3.74,17,17,69,35,"21",NA,"",NA,2965,TRUE,TRUE,TRUE,3.6
